Specjalna odzie¿ robocza;Jednostki do przechowywania taœm magnetycznych;Czêœci i akcesoria do pojazdów i wózków inwalidzkich;W³ókiennicze przewody do pomp
Produkty rolnictwa, hodowli, rybo³ówstwa, leœnictwa i podobne;Kamizelki spadochronowe;Jednostki do przechowywania dysków magnetycznych;Czêœci i akcesoria do pojazdów inwalidzkich;W³ókiennicze taœmy transportowe
Produkty rolnictwa i ogrodnictwa;Kurtki lotnicze;Napêdy dyskietek;Silniki do pojazdów inwalidzkich;Kabel w³ókienniczy
Roœliny uprawne, produkty warzywnictwa i ogrodnictwa;Kombinezony lotnicze;Napêdy dyskowe;Uk³ady kierownicze do pojazdów inwalidzkich;Pikowane wyroby w³ókiennicze
Nasiona;Dodatki do odzie¿y roboczej;Urz¹dzenia do przechowywania dostêpu bezpoœredniego (DASD);Uk³ady sterowania do pojazdów inwalidzkich;Sprzêt gospodarstwa domowego
Nasiona soi;Rêkawice robocze;Nadmiarowa macierz niezale¿nych dysków (RAID);Zawieszenia do pojazdów inwalidzkich;Elektryczny sprzêt gospodarstwa domowego
Orzeszki ziemne;Okulary ochronne;Napêdy dysku optycznego;Czêœci i akcesoria do wózków inwalidzkich;Elektryczny sprzêt gospodarstwa domowego do u¿ytku ze œrodkami spo¿ywczymi
Nasiona s³onecznika;Akcesoria ochronne;Urz¹dzenie do odczytu i/lub wypalania p³yt kompaktowych (CD);Siedziska do wózków inwalidzkich;Ch³odziarki i zamra¿arki
Nasiona bawe³ny;Odzie¿ wierzchnia;Urz¹dzenie do odczytu i/lub wypalania uniwersalnych dysków wideo (DVD);Ramy do wózków inwalidzkich;Ch³odziarkozamra¿arki
Nasiona sezamu;Palta;Urz¹dzenie do odczytu i/lub wypalania p³yt kompaktowych (CD) i uniwersalnych dysków wideo (DVD);Fotele do wózków inwalidzkich;Zamra¿arki
Nasiona gorczycy;Peleryny;Jednostki pamiêci taœmowej;Ko³a do wózków inwalidzkich;Zamra¿arki szafowe
Nasiona warzyw;P³aszcze;Urz¹dzenia kasetowe;Opony do wózków inwalidzkich;Zamra¿arki u¿ywane w gospodarstwie domowym
Nasiona owoców;Wiatrówki;Jednostki ko³owe;Urz¹dzenia i przyrz¹dy do transfuzji i infuzji;Zamra¿arki stoj¹ce
